order_id,order_date,customer_name,category,region,channel,unit_price,quantity,revenue
ORD100000,16/05/2025,Allison Hill,Toys,North,Web,190.4,5,952.0
ORD100001,2025-03-02,Megan Mcclain,sports,West,Web,95.8,5,
ORD100002,2025-10-17,Allen Robinson,Sports,West,Mobile App,300.44,2,600.88
ORD100003,08/11/2025,Cristian Santos,Apparel,South,Mobile App,82.22,3,246.66
ORD100004,17/01/2025,Kevin Pacheco,Electronics,West,Web,232.33,5,1161.65
ORD100005,2025-04-09,Melissa Peterson,Sports,South,Web,302.55,3,907.65
ORD100006,08/03/2025,Gabrielle Davis,Apparel,West,Marketplace,15.19,2,30.38
ORD100007,17/02/2026,Lindsey Roman,Toys,South,Mobile App,362.39,6,2174.34
ORD100008,12/11/2025,Valerie Gray,Electronics,South,Web,110.11,4,440.44
ORD100009,26/11/2025,Lisa Hensley,Home & Kitchen,West,In-Store,95.79,4,383.16
ORD100010,21/06/2025,Amber Perez,Toys,Central,In-Store,307.77,5,1538.85
ORD100011,2025-06-15,David Garcia,Electronics,North,Mobile App,218.81,1,218.81
ORD100012,08/05/2025,Holly Wood,Sports,East,Web,264.76,7,1853.32
ORD100013,13/12/2025,Timothy Wong,Apparel,West,Mobile App,74.05,4,296.2
ORD100014,09/08/2025,Nicholas Martin,Electronics,,Mobile App,487.01,7,3409.07
ORD100015,2026-04-20,Margaret Hawkins DDS,Apparel,West,Web,230.75,7,1615.25
ORD100016,2025-07-05,Crystal Johnson,Sports,North,Web,311.1,4,1244.4
ORD100017,09/05/2026,Daniel Hahn,Sports,South,Marketplace,259.55,1,259.55
ORD100018,2026-05-30,Matthew Foster,Toys,East,In-Store,27.99,3,83.97
ORD100019,2025-11-17,Derek Wright,Apparel,North,Mobile App,341.75,-1,341.75
ORD100020,20/08/2025,Kevin Hurst,Apparel,North,Mobile App,37.2,4,148.8
ORD100021,2025-03-04,Zachary Hicks,Home & Kitchen,West,In-Store,471.39,6,2828.34
ORD100022,2026-03-24,Brian Burton,Toys,North,Web,405.16,1,405.16
ORD100023,13/07/2026,Arthur James,Beauty,South,Marketplace,12.9,2,25.8
ORD100024,2025-01-20,Tricia Valencia,Toys,Central,Web,343.7,7,2405.9
ORD100025,2025-06-09,Melanie Herrera,Beauty,North,Mobile App,343.22,4,1372.88
ORD100026,19/09/2025,Ashley Graham,Toys,Central,In-Store,250.11,7,1750.77
ORD100027,2025-10-15,Sherri Baker,Electronics,North,In-Store,90.82,1,90.82
ORD100028,2025-06-26,Thomas Harrell,Sports,North,Mobile App,133.1,4,532.4
ORD100029,2026-03-07,Lisa Hernandez,Toys,Central,Marketplace,159.3,6,955.8
ORD100030,14/01/2025,Paula Moreno,APPAREL,West,Marketplace,107.93,4,431.72
ORD100031,2026-05-10,Alec Hickman,Sports,South,Marketplace,96.5,7,675.5
ORD100032,10/05/2026,Elizabeth Brown,Sports,East,Web,421.93,4,1687.72
ORD100033,20/02/2025,Angelica Tucker,Electronics,Central,Mobile App,470.05,6,2820.3
ORD100034,01/10/2025,Pamela Anderson,beauty,East,Web,463.7,7,3245.9
