order_id,order_date,customer_name,category,region,channel,unit_price,quantity,revenue
ORD104200,2025-01-14,Angela Thompson,Sports,South,Marketplace,186.18,3,558.54
ORD100629,2025-01-14,Scott Alexander,Electronics,Central,In-Store,410.46,5,2052.3
ORD100634,2025-01-14,Matthew Padilla,Sports,North,Marketplace,481.24,1,481.24
ORD100090,2025-01-14,Dawn Fletcher,Electronics,Central,In-Store,251.14,1,251.14
ORD104594,2025-01-14,Joseph Carrillo,Electronics,East,Mobile App,257.01,6,1542.06
ORD104246,2025-01-14,Alexander Larson,Electronics,North,Marketplace,126.94,4,507.76
ORD102944,2025-01-14,Chad Hurley,Beauty,West,Mobile App,427.4,6,2564.4
ORD103579,2025-01-14,Crystal Johnston,Apparel,South,Mobile App,259.44,6,1556.64
ORD103562,2025-01-14,Kristen Bradley,Home & Kitchen,North,Web,180.87,5,904.35
ORD104792,2025-01-14,Adrian Orr,Toys,South,Mobile App,479.76,2,959.52
ORD102153,2025-01-14,Rodney Nichols,Toys,Central,Mobile App,332.67,7,2328.69
ORD100030,2025-01-14,Paula Moreno,Apparel,West,Marketplace,107.93,4,431.72
ORD101015,2025-01-14,Andrew Allen,Sports,South,Mobile App,12.83,4,51.32
ORD102681,2025-01-15,Paul Massey,Home & Kitchen,East,Mobile App,38.01,3,114.03
ORD104885,2025-01-15,Sara Mills,Apparel,East,Mobile App,291.05,7,2037.35
ORD102196,2025-01-15,Michele Young,Home & Kitchen,West,Web,109.76,3,329.28
ORD100842,2025-01-15,Timothy Rivera,Home & Kitchen,South,In-Store,127.32,5,636.6
ORD103340,2025-01-15,Robin Riggs,Beauty,Central,Marketplace,379.68,1,379.68
ORD103026,2025-01-16,Victor Rice,Apparel,West,Web,337.44,6,2024.64
ORD104904,2025-01-16,Samantha Price,Home & Kitchen,East,In-Store,348.94,7,2442.58
ORD100819,2025-01-16,Mr. Christopher Walters,Sports,East,Web,166.6,2,333.2
ORD104795,2025-01-16,David Rodriguez,Home & Kitchen,North,Web,276.07,5,1380.35
ORD100940,2025-01-16,Kristen Martinez,Beauty,North,Marketplace,383.77,4,1535.08
ORD101835,2025-01-16,Amanda Robinson,Electronics,North,Mobile App,151.37,7,1059.59
ORD103056,2025-01-16,Michael Glass,Toys,South,Web,455.17,5,2275.85
ORD103014,2025-01-17,Melanie Edwards,Sports,South,Mobile App,41.14,3,123.42
ORD101984,2025-01-17,Antonio Walton,Apparel,East,Marketplace,124.8,4,499.2
ORD101641,2025-01-17,Tyler Wheeler,Sports,East,Marketplace,322.04,5,1610.2
ORD100998,2025-01-17,Laura Wilson,Electronics,East,In-Store,426.33,7,2984.31
ORD100004,2025-01-17,Kevin Pacheco,Electronics,West,Web,232.33,5,1161.65
ORD103218,2025-01-17,Christine Aguilar,Apparel,Central,Marketplace,281.29,2,562.58
ORD100118,2025-01-17,Pamela James,Apparel,North,Marketplace,260.73,1,260.73
ORD100279,2025-01-17,Ellen Morgan,Electronics,West,Web,292.75,5,1463.75
ORD104577,2025-01-18,Megan Fuller,Apparel,South,Mobile App,193.06,1,193.06
ORD104527,2025-01-18,Wendy Evans,Beauty,Central,Web,210.88,6,1265.28
ORD100794,2025-01-18,Maria Burke,Home & Kitchen,Central,In-Store,399.41,4,1597.64
ORD100793,2025-01-18,Richard Saunders,Electronics,East,In-Store,381.71,3,1145.13
ORD104947,2025-01-18,Jessica Scott,Beauty,North,Web,254.42,5,1272.1
ORD103910,2025-01-18,Brenda Rogers,Toys,West,Marketplace,392.66,7,2748.62
ORD103463,2025-01-18,Lacey Graves,Toys,West,Web,469.22,6,2815.32
ORD103109,2025-01-18,Rachel Miller,Apparel,South,Mobile App,442.42,7,3096.94
ORD104267,2025-01-19,Lance Gonzalez,Beauty,North,Marketplace,426.37,1,426.37
ORD102664,2025-01-19,Dr. Janet White PhD,Home & Kitchen,Central,Web,334.98,4,1339.92
ORD102328,2025-01-19,Barbara Flores,Beauty,Central,Web,20.08,5,100.4
ORD101615,2025-01-19,Michael Ellis,Apparel,South,Web,370.25,1,370.25
ORD102209,2025-01-19,Paul Gordon,Toys,East,Marketplace,319.79,4,1279.16
ORD101878,2025-01-19,Bethany Harding,Home & Kitchen,East,Web,259.36,1,259.36
ORD104909,2025-01-19,Kathy Robinson,Sports,South,In-Store,186.54,4,746.16
ORD102761,2025-01-20,James Spears,Apparel,South,In-Store,98.7,2,197.4
ORD104212,2025-01-20,Tracy Mejia,Apparel,West,Marketplace,206.15,6,1236.9
ORD103306,2025-01-20,Casey Miles,Apparel,Central,Web,36.58,3,109.74
ORD101242,2025-01-20,Justin Walsh,Apparel,East,Mobile App,369.15,3,1107.45
ORD101041,2025-01-20,Julia Norris,Electronics,Central,Marketplace,177.05,4,708.2
ORD100024,2025-01-20,Tricia Valencia,Toys,Central,Web,343.7,7,2405.9
ORD102437,2025-01-20,Jim Elliott,Electronics,South,In-Store,182.38,5,911.9
ORD103234,2025-01-20,Andre Williams,Home & Kitchen,West,Web,123.71,3,371.13
ORD103158,2025-01-20,Phillip Moran,Toys,South,Web,244.92,1,244.92
ORD102171,2025-01-21,Charles Burton,Beauty,Central,Web,452.03,5,2260.15
ORD101489,2025-01-21,Kevin Morrow,Sports,West,In-Store,212.38,4,849.52
ORD102356,2025-01-21,Wesley Brown,Apparel,East,Marketplace,320.36,3,961.08
ORD104042,2025-01-21,Anthony Mccormick III,Toys,North,In-Store,356.32,3,1068.96
ORD104669,2025-01-21,Jodi Miller,Apparel,South,Web,98.25,3,294.75
ORD104123,2025-01-21,Jennifer Davis,Toys,Central,Mobile App,316.79,5,1583.95
ORD101670,2025-01-21,Eric Martinez,Beauty,South,Mobile App,454.06,3,1362.18
ORD104108,2025-01-22,David Small,Home & Kitchen,West,Web,309.64,3,928.92
ORD100507,2025-01-22,Felicia Krueger,Sports,South,Marketplace,396.09,5,1980.45
ORD102272,2025-01-22,Alexis Cervantes,Electronics,South,In-Store,176.8,2,353.6
ORD100489,2025-01-22,Ralph Stephenson,Apparel,East,Marketplace,192.52,5,962.6
ORD101197,2025-01-22,Andrew Duran,Electronics,North,Marketplace,290.7,1,290.7
ORD104474,2025-01-22,Rebecca Lowery,Home & Kitchen,West,Web,42.77,4,171.08
ORD102511,2025-01-22,Tammy Anderson,Apparel,South,In-Store,403.46,1,403.46
ORD104389,2025-01-22,Jeffrey Moore,Toys,South,Marketplace,448.64,2,897.28
ORD104793,2025-01-23,Daniel Brown,Sports,Central,Marketplace,180.65,3,541.95
ORD100652,2025-01-23,Tiffany Townsend,Electronics,Central,Mobile App,239.74,6,1438.44
ORD101912,2025-01-23,Sarah Jackson,Toys,West,Mobile App,40.09,6,240.54
ORD104602,2025-01-23,Linda Newman,Electronics,West,Marketplace,486.17,1,486.17
ORD104385,2025-01-23,Gloria Patterson,Sports,North,Marketplace,257.44,5,1287.2
ORD102607,2025-01-24,Teresa Johnson,Apparel,South,Web,235.34,1,235.34
ORD101054,2025-01-24,Tara Scott,Electronics,South,Marketplace,117.54,5,587.7
ORD103955,2025-01-24,Becky King,Apparel,East,Mobile App,466.17,1,466.17
ORD104502,2025-01-24,Jeremy Stein,Apparel,Central,In-Store,81.65,3,244.95
ORD101953,2025-01-24,Sally Leon,Home & Kitchen,East,Mobile App,326.01,6,1956.06
ORD100292,2025-01-24,Scott Williams,Sports,East,Web,326.36,1,326.36
ORD104606,2025-01-24,Karen Le,Toys,East,Web,223.98,4,895.92
ORD104684,2025-01-24,Christie Nunez,Sports,East,In-Store,341.0,1,341.0
